"date";"portal";"title";"position";"link";"fontSize";"Nazwisko"
2015-03-16;http://www.wprost.pl/;Wpadki Komorowskiego na Twitterze. Powinien skupić się na Naszej Klasie;1;http://www.wprost.pl/ar/495661/Wpadki-Komorowskiego-na-Twitterze-Powinien-skupic-sie-na-Naszej-Klasie/;17;komorowski
2015-03-16;http://natemat.pl/;Co ma wspólnego Komorowski z Apple? Zagadka warta 850 mln;1;http://bartlomiejwalentynski.innpoland.pl/115863,kiedy-slonce-dzieki-ustawie-zaswieci;24;komorowski
2015-03-16;http://natemat.pl/;Bulterier znów podgryza. Kurski uderza w syna Komorowskiego;1;http://natemat.pl/136693,bulterier-powrocil-jacek-kurski-uderza-w-syna-bronislawa-komorowskiego;24;komorowski
2015-03-16;http://natemat.pl/;Komorowski i jego zywiol. W malych miasteczkach prezydent czuje sie jak ryba w wodzie;1;http://natemat.pl/136639,komorowski-i-jego-zywiol-podczas-spotkan-wyborczych-w-malych-miasteczkach-prezydent-czuje-sie-jak-ryba-w-wodzie;24;komorowski
2015-03-16;http://natemat.pl/;<U+2B06>Ataki Dudy splywaja po Komorowskim;1;http://natemat.pl/132313,barometr-wyborczy-natemat-zobacz-jak-dzisiaj-radzil-sobie-w-kampanii-bronislaw-komorowski;24;komorowski
2015-03-16;http://www.onet.pl/;Komorowski chce zmian ws. urlopów rodzicielskich;1;http://biznes.onet.pl/praca/komorowski-w-przyszlym-tygodniu-projekt-zmian-dot-urlopow-rodzicielskich/etbz7f;12;komorowski
2015-03-16;http://www.tvn24.pl/;Duda uderza w Komorowskiego satyrycznym spotem wyborczym;1;http://www.tvn24.plhttp://fakty.tvn24.pl/ogladaj-online,60/pis-kpi-z-komorowskiego-w-nowym-spocie,524365.html;14;komorowski
2015-03-16;http://natemat.pl/;Bronislaw Komorowski o przeciwnikach: Polityczni naciagacze. Rozdaja miliardy, których nie ma;1;http://natemat.pl/136649,prezydent-ostro-krytykuje-konkurencje-rozdaja-miliardy-ktorych-nie-ma;24;komorowski
2015-03-16;http://www.tvn24.pl/;Duda coraz silniejszy, topnieje przewaga Komorowskiego. Sondaz dla  Faktów  TVN;4;http://www.tvn24.pl/sondaz-prezydencki-dla-faktow-tvn,524725,s.html;46;duda
2015-03-16;http://natemat.pl/;Andrzej Duda pokazuje, ze jego kampania zabrnela w slepy zaulek;4;http://natemat.pl/136683,tyszkiewicz-o-muzeum-zgody-slaby-dowcip-jak-mowi-mlodziez-suchar-pokazuje-ze-kampania-dudy-zabrnela-w-slepy-zaulek;42;duda
