"lastname";"mean_retweet";"sum_retweet";"mean_like";"sum_like";"how_many_tweets";"date"
M_Kowalski1;1.66666666666667;5;2.33333333333333;7;3;2015-03-25
ogorekmagda;7;7;19;19;1;2015-03-25
Palikot_Janusz;2.86666666666667;86;9.13333333333333;274;30;2015-03-25
PrezydentKukiz;3.05555555555556;110;6.88888888888889;248;36;2015-03-25
WandaNowicka;0;0;0;0;1;2015-03-25
AndrzejDuda;0.571428571428571;4;8.42857142857143;59;7;2015-03-26
AnnaGrodzka;12;12;14;14;1;2015-03-26
JarubasAdam;1.66666666666667;5;2;6;3;2015-03-26
M_Kowalski1;2;4;3;6;2;2015-03-26
ogorekmagda;10.5;21;28.5;57;2;2015-03-26
Palikot_Janusz;0.444444444444444;4;4.44444444444444;40;9;2015-03-26
PrezydentKukiz;3.96774193548387;246;4.59677419354839;285;62;2015-03-26
AndrzejDuda;14.7777777777778;266;26.1666666666667;471;18;2015-03-27
Komorowski;2.8;28;5;50;10;2015-03-27
M_Kowalski1;2;2;4;4;1;2015-03-27
ogorekmagda;4;4;12;12;1;2015-03-27
Palikot_Janusz;2.77777777777778;25;10.1111111111111;91;9;2015-03-27
PrezydentKukiz;3;21;4.57142857142857;32;7;2015-03-27
WandaNowicka;2.16666666666667;13;2.16666666666667;13;6;2015-03-27
AndrzejDuda;7.11111111111111;64;19.1111111111111;172;9;2015-03-28
JarubasAdam;5;5;2;2;1;2015-03-28
Komorowski;4.83333333333333;116;7.75;186;24;2015-03-28
ogorekmagda;17;51;33.6666666666667;101;3;2015-03-28
Palikot_Janusz;2.61290322580645;81;10.1290322580645;314;31;2015-03-28
PrezydentKukiz;4.83333333333333;116;6.625;159;24;2015-03-28
WandaNowicka;0.7;7;2.7;27;10;2015-03-28
AndrzejDuda;9.47619047619048;199;16.6666666666667;350;21;2015-03-29
JarubasAdam;11;44;8.75;35;4;2015-03-29
JkmMikke;16;16;38;38;1;2015-03-29
M_Kowalski1;3;3;3;3;1;2015-03-29
Palikot_Janusz;1.875;30;12.0625;193;16;2015-03-29
PrezydentKukiz;2.14285714285714;30;8.78571428571429;123;14;2015-03-29
WandaNowicka;0;0;1;1;1;2015-03-29
AndrzejDuda;4;8;8;16;2;2015-03-30
JarubasAdam;2.25;9;3.25;13;4;2015-03-30
Komorowski;7.5;30;7.25;29;4;2015-03-30
Palikot_Janusz;2.42857142857143;51;5.85714285714286;123;21;2015-03-30
PrezydentKukiz;4.375;35;8.625;69;8;2015-03-30
WandaNowicka;0;0;1;1;1;2015-03-30
AndrzejDuda;7.71428571428571;54;17.8571428571429;125;7;2015-03-31
JarubasAdam;1.5;3;0.5;1;2;2015-03-31
M_Kowalski1;4.33333333333333;13;6.33333333333333;19;3;2015-03-31
ogorekmagda;8;16;17;34;2;2015-03-31
Palikot_Janusz;1.53333333333333;23;4.53333333333333;68;15;2015-03-31
PrezydentKukiz;7;7;13;13;1;2015-03-31
WandaNowicka;1;1;3;3;1;2015-03-31
AndrzejDuda;18.75;75;54.5;218;4;2015-04-01
AnnaGrodzka;3;3;5;5;1;2015-04-01
JarubasAdam;1.6;8;4.2;21;5;2015-04-01
Komorowski;5.3;53;6.4;64;10;2015-04-01
Palikot_Janusz;34;34;48;48;1;2015-04-01
PrezydentKukiz;3;6;20;40;2;2015-04-01
AndrzejDuda;3.07692307692308;40;7.53846153846154;98;13;2015-04-02
JarubasAdam;1.66666666666667;5;3;9;3;2015-04-02
Komorowski;4.28571428571429;30;5.57142857142857;39;7;2015-04-02
M_Kowalski1;7;7;10;10;1;2015-04-02
Palikot_Janusz;1;1;9;9;1;2015-04-02
PrezydentKukiz;2;14;4;28;7;2015-04-02
AndrzejDuda;0;0;1;1;1;2015-04-03
AnnaGrodzka;1;2;3.5;7;2;2015-04-03
Komorowski;5;5;12;12;1;2015-04-03
PrezydentKukiz;40.5;162;72.75;291;4;2015-04-03
WandaNowicka;1;1;1;1;1;2015-04-03
