"lastname";"mean_retweet";"sum_retweet";"mean_like";"sum_like";"how_many_tweets";"date"
JkmMikke;2;2;10;10;1;2015-01-28
M_Kowalski1;8.66666666666667;26;10.6666666666667;32;3;2015-01-28
ogorekmagda;9;9;22;22;1;2015-01-29
AnnaGrodzka;4;4;5;5;1;2015-01-30
JkmMikke;7;7;33;33;1;2015-01-30
M_Kowalski1;2;2;3;3;1;2015-01-30
AnnaGrodzka;9;9;12;12;1;2015-02-01
AnnaGrodzka;1;1;13;13;1;2015-02-02
JkmMikke;5;5;11;11;1;2015-02-02
ogorekmagda;7;7;8;8;1;2015-02-02
JkmMikke;8;16;33;66;2;2015-02-03
ogorekmagda;10;10;26;26;1;2015-02-03
JkmMikke;5;5;18;18;1;2015-02-04
ogorekmagda;25;25;32;32;1;2015-02-04
M_Kowalski1;3;3;4;4;1;2015-02-05
AnnaGrodzka;2;4;16.5;33;2;2015-02-06
JarubasAdam;1.57142857142857;11;5.14285714285714;36;7;2015-02-07
M_Kowalski1;6;6;4;4;1;2015-02-07
JarubasAdam;3;12;6.5;26;4;2015-02-08
M_Kowalski1;5;5;5;5;1;2015-02-08
AnnaGrodzka;1;1;2;2;1;2015-02-09
JarubasAdam;1;2;4;8;2;2015-02-09
M_Kowalski1;20;40;11;22;2;2015-02-09
ogorekmagda;34;34;69;69;1;2015-02-09
JarubasAdam;1;1;2;2;1;2015-02-10
M_Kowalski1;7.5;15;5.5;11;2;2015-02-10
AnnaGrodzka;4.33333333333333;13;7.33333333333333;22;3;2015-02-11
JarubasAdam;0;0;2;4;2;2015-02-11
M_Kowalski1;5;10;4.5;9;2;2015-02-11
JkmMikke;3;3;9;9;1;2015-02-12
AndrzejDuda;24.2857142857143;170;39;273;7;2015-02-13
AnnaGrodzka;7.33333333333333;22;17;51;3;2015-02-13
JarubasAdam;3.5;7;6.5;13;2;2015-02-13
M_Kowalski1;5.5;11;2;4;2;2015-02-13
AndrzejDuda;1;1;9;9;1;2015-02-14
JarubasAdam;5;20;9;36;4;2015-02-14
JkmMikke;10;10;25;25;1;2015-02-14
M_Kowalski1;6;18;8;24;3;2015-02-14
ogorekmagda;22;22;59;59;1;2015-02-14
AnnaGrodzka;1;1;8;8;1;2015-02-15
JarubasAdam;5;5;6;6;1;2015-02-15
JkmMikke;10;10;25;25;1;2015-02-15
M_Kowalski1;9;9;6;6;1;2015-02-15
ogorekmagda;10.6666666666667;32;26;78;3;2015-02-15
AndrzejDuda;0;0;4;4;1;2015-02-16
AnnaGrodzka;0;0;2;2;1;2015-02-16
JarubasAdam;5.66666666666667;17;12.6666666666667;38;3;2015-02-16
JkmMikke;16;16;29;29;1;2015-02-16
M_Kowalski1;11;22;16.5;33;2;2015-02-16
ogorekmagda;10;10;30;30;1;2015-02-16
AndrzejDuda;3.25;13;9.5;38;4;2015-02-17
JarubasAdam;3.8;19;4.8;24;5;2015-02-17
M_Kowalski1;4;4;8;8;1;2015-02-17
AndrzejDuda;31;62;39;78;2;2015-02-18
AnnaGrodzka;2;4;12.5;25;2;2015-02-18
M_Kowalski1;3.5;7;6.5;13;2;2015-02-18
AndrzejDuda;3.66666666666667;11;15.3333333333333;46;3;2015-02-19
JarubasAdam;3;9;4;12;3;2015-02-19
M_Kowalski1;3;6;4;8;2;2015-02-19
ogorekmagda;17;17;35;35;1;2015-02-19
AndrzejDuda;87;87;185;185;1;2015-02-20
AnnaGrodzka;4;4;11;11;1;2015-02-20
M_Kowalski1;4.66666666666667;14;6.33333333333333;19;3;2015-02-20
ogorekmagda;51.5;103;100.5;201;2;2015-02-20
AndrzejDuda;69.75;279;110;440;4;2015-02-21
AnnaGrodzka;4;4;5;5;1;2015-02-21
JarubasAdam;4;4;7;7;1;2015-02-21
M_Kowalski1;1;1;5;5;1;2015-02-21
ogorekmagda;8;32;24.5;98;4;2015-02-21
JarubasAdam;2.5;15;4.16666666666667;25;6;2015-02-22
M_Kowalski1;6;6;8;8;1;2015-02-22
AndrzejDuda;172;172;381;381;1;2015-02-23
JarubasAdam;8;8;15;15;1;2015-02-23
M_Kowalski1;4.5;9;5.5;11;2;2015-02-23
ogorekmagda;15;75;35.8;179;5;2015-02-23
M_Kowalski1;5;5;5;5;1;2015-02-24
ogorekmagda;10;10;24;24;1;2015-02-24
WandaNowicka;0.5;1;1.5;3;2;2015-02-24
AnnaGrodzka;0;0;16;16;1;2015-02-25
JarubasAdam;0;0;2;2;1;2015-02-25
M_Kowalski1;2;4;4.5;9;2;2015-02-25
WandaNowicka;2.42857142857143;17;1.85714285714286;13;7;2015-02-25
JarubasAdam;3.5;7;5;10;2;2015-02-26
M_Kowalski1;3;3;3;3;1;2015-02-26
ogorekmagda;10;10;21;21;1;2015-02-26
WandaNowicka;0.333333333333333;2;0.5;3;6;2015-02-26
AnnaGrodzka;5;5;15;15;1;2015-02-27
JarubasAdam;2;4;2;4;2;2015-02-27
M_Kowalski1;4;8;4;8;2;2015-02-27
WandaNowicka;0;0;0;0;2;2015-02-27
AndrzejDuda;8.66666666666667;26;45.6666666666667;137;3;2015-02-28
AnnaGrodzka;0;0;6;6;1;2015-02-28
JarubasAdam;29;29;38;38;1;2015-02-28
ogorekmagda;22;22;43;43;1;2015-02-28
WandaNowicka;0.142857142857143;1;1;7;7;2015-02-28
AndrzejDuda;24.8181818181818;273;47.0909090909091;518;11;2015-03-01
JarubasAdam;8;8;6;6;1;2015-03-01
JkmMikke;1;1;4;4;1;2015-03-01
M_Kowalski1;3;12;5.25;21;4;2015-03-01
ogorekmagda;7.33333333333333;22;21.6666666666667;65;3;2015-03-01
WandaNowicka;0;0;1;1;1;2015-03-01
AnnaGrodzka;4;4;11;11;1;2015-03-02
JarubasAdam;6;6;8;8;1;2015-03-02
M_Kowalski1;1.66666666666667;5;3.33333333333333;10;3;2015-03-02
ogorekmagda;9.5;38;23.75;95;4;2015-03-02
WandaNowicka;0.285714285714286;2;2.28571428571429;16;7;2015-03-02
AndrzejDuda;0;0;0;0;1;2015-03-03
JarubasAdam;1;1;0;0;1;2015-03-03
M_Kowalski1;2.25;9;4;16;4;2015-03-03
WandaNowicka;0;0;0;0;1;2015-03-03
AndrzejDuda;14.875;119;27;216;8;2015-03-04
AnnaGrodzka;2.33333333333333;7;3;9;3;2015-03-04
JarubasAdam;3.2;16;3.8;19;5;2015-03-04
M_Kowalski1;3;12;4.5;18;4;2015-03-04
WandaNowicka;0;0;0.5;2;4;2015-03-04
AnnaGrodzka;1.25;5;8.5;34;4;2015-03-05
JarubasAdam;2.5;5;3.5;7;2;2015-03-05
ogorekmagda;7;7;22;22;1;2015-03-05
WandaNowicka;1.57142857142857;11;5.14285714285714;36;7;2015-03-05
AndrzejDuda;2;2;6;6;1;2015-03-06
AnnaGrodzka;5;5;18;18;1;2015-03-06
JarubasAdam;4;8;2.5;5;2;2015-03-06
M_Kowalski1;1.5;3;2;4;2;2015-03-06
WandaNowicka;0.5;1;2;4;2;2015-03-06
AnnaGrodzka;0.5;1;5;10;2;2015-03-07
JarubasAdam;4.75;19;7.5;30;4;2015-03-07
JkmMikke;15;15;54;54;1;2015-03-07
Komorowski;6.58333333333333;79;11.8333333333333;142;12;2015-03-07
ogorekmagda;9.75;39;16;64;4;2015-03-07
WandaNowicka;1;1;3;3;1;2015-03-07
AndrzejDuda;19;38;44.5;89;2;2015-03-08
AnnaGrodzka;1.25;5;11.25;45;4;2015-03-08
JarubasAdam;0.5;2;2.5;10;4;2015-03-08
Komorowski;6.70588235294118;114;11.6470588235294;198;17;2015-03-08
M_Kowalski1;3;9;6.66666666666667;20;3;2015-03-08
ogorekmagda;5;5;18;18;1;2015-03-08
WandaNowicka;0.4;4;2.2;22;10;2015-03-08
AnnaGrodzka;2;4;8;16;2;2015-03-09
JarubasAdam;5;10;8;16;2;2015-03-09
Komorowski;2.5;15;7.5;45;6;2015-03-09
WandaNowicka;0.666666666666667;2;1.33333333333333;4;3;2015-03-09
AnnaGrodzka;1.33333333333333;4;5;15;3;2015-03-10
JkmMikke;30;30;72;72;1;2015-03-10
Komorowski;2.95238095238095;62;6;126;21;2015-03-10
WandaNowicka;0.666666666666667;2;1;3;3;2015-03-10
AndrzejDuda;15;15;32;32;1;2015-03-11
AnnaGrodzka;8.75;35;18.75;75;4;2015-03-11
JarubasAdam;3.2;16;3.8;19;5;2015-03-11
