"id";"name";"likes";"picture";"date"
536949806446858;"Ca³a Polska g³osuje na Kukiza";270;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/c91.0.200.200/p200x200/10987346_540812362727269_8504043120731602573_n.jpg?oh=dfde1fbafb3ac0a0451ebb9914620776&oe=55C59A88&__gda__=1439180701_8f3357aa71ec42761b1a0e6a4dd4c8b2";"2015-05-02"
328170794051845;"Prezydent Kukiz";86057;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpt1/v/t1.0-1/c257.0.549.549/s200x200/10157133_341695606032697_2111020008533731519_n.jpg?oh=894e5ef1975d8e8102dc62955cd59bc2&oe=55C9A395&__gda__=1439710458_5e374ae6d9fc56191675d3c0c6552117";"2015-05-03"
838077856255619;"Kukiz Prezydentem";12;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xta1/v/t1.0-1/c0.0.193.193/10959409_838078459588892_3541030191770178550_n.jpg?oh=7a5f002f5bba80c11d69b7103886aa63&oe=55E1D567&__gda__=1439403295_2fc45c65c6408590147e6156b5da021c";"2015-05-03"
749808495126104;"Pawe³ Kukiz - Prezydent";753;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpt1/v/t1.0-1/c50.0.200.200/p200x200/10532362_749808678459419_1269583108925424323_n.jpg?oh=114a5b7cc29e4bcc23096cac1311e4bb&oe=55CF1F8C&__gda__=1440812382_a40ef292c2009318256a160238486fa1";"2015-05-03"
1559380707648545;"Spo³eczny ruch poparcia Paw³a Kukiza - Oœwiêcim i okolice";693;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c0.0.200.200/p200x200/1514982_1559409464312336_7667885155057376370_n.jpg?oh=719783a18892733824fd2421f5bbed45&oe=55C25F4D&__gda__=1440517023_27073cfd5e07bea81fb624100d57d74a";"2015-05-03"
536949806446858;"Ca³a Polska g³osuje na Kukiza";316;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/c91.0.200.200/p200x200/10987346_540812362727269_8504043120731602573_n.jpg?oh=dfde1fbafb3ac0a0451ebb9914620776&oe=55C59A88&__gda__=1439180701_8f3357aa71ec42761b1a0e6a4dd4c8b2";"2015-05-03"
328170794051845;"Prezydent Kukiz";88383;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpt1/v/t1.0-1/c257.0.549.549/s200x200/10157133_341695606032697_2111020008533731519_n.jpg?oh=894e5ef1975d8e8102dc62955cd59bc2&oe=55C9A395&__gda__=1439710458_5e374ae6d9fc56191675d3c0c6552117";"2015-05-04"
838077856255619;"Kukiz Prezydentem";12;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xta1/v/t1.0-1/c0.0.193.193/10959409_838078459588892_3541030191770178550_n.jpg?oh=7a5f002f5bba80c11d69b7103886aa63&oe=55E1D567&__gda__=1439403295_2fc45c65c6408590147e6156b5da021c";"2015-05-04"
749808495126104;"Pawe³ Kukiz - Prezydent";797;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpt1/v/t1.0-1/c50.0.200.200/p200x200/10532362_749808678459419_1269583108925424323_n.jpg?oh=114a5b7cc29e4bcc23096cac1311e4bb&oe=55CF1F8C&__gda__=1440812382_a40ef292c2009318256a160238486fa1";"2015-05-04"
1559380707648545;"Spo³eczny ruch poparcia Paw³a Kukiza - Oœwiêcim i okolice";724;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c0.0.200.200/p200x200/1514982_1559409464312336_7667885155057376370_n.jpg?oh=719783a18892733824fd2421f5bbed45&oe=55C25F4D&__gda__=1440517023_27073cfd5e07bea81fb624100d57d74a";"2015-05-04"
